fname,lname,POS,BAT,THW,Age,HT,WT,Team,city,state,League
Ryan,Weathers,SP,R,L,24,73,230,Miami Marlins,Loretto,TN,MLB
Christian,Bethancourt,C,R,R,32,75,205,Miami Marlins,Panama City,Panama,MLB
Nick,Fortes,C,R,R,27,71,198,Miami Marlins,Miami,FL,MLB
Jacob,Amaya,SS,R,R,25,72,180,Miami Marlins,El Monte,CA,MLB
Luis,Arraez,2B,L,R,26,70,175,Miami Marlins,San Felipe,Venezuela,MLB
Josh,Bell,1B,B,R,31,76,261,Miami Marlins,Irving,TX,MLB
Jon,Berti,SS,R,R,34,70,190,Miami Marlins,Troy,MI,MLB
Jake,Burger,3B,R,R,27,74,230,Miami Marlins,St. Louis,MO,MLB
Xavier,Edwards,SS,B,R,24,70,175,Miami Marlins,Mineola,NY,MLB
Jordan,Groshans,3B,R,R,24,75,200,Miami Marlins,Magnolia,TX,MLB
Vidal,Brujan,RF,B,R,25,70,180,Miami Marlins,San Pedro de Macoris,Dominican Republic,MLB
Peyton,Burdick,CF,R,R,26,72,205,Miami Marlins,Batavia,OH,MLB
Jazz,Chisholm,CF,L,R,25,71,184,Miami Marlins,Nassau,Bahamas,MLB
Bryan,De,LF,R,R,27,74,175,Miami Marlins,Santo Domingo,Dominican Republic,MLB
Avisail,Garcia,RF,R,R,32,76,250,Miami Marlins,Anaco,Venezuela,MLB
Victor,Mesa,LF,R,R,27,71,200,Miami Marlins,Santa Clara,Cuba,MLB
Victor,Mesa,CF,L,L,22,72,195,Miami Marlins,Havana,Cuba,MLB
Dane,Myers,CF,R,R,27,72,205,Miami Marlins,Columbus,TX,MLB
Jesus,Sanchez,RF,L,R,26,75,222,Miami Marlins,Higuey,Dominican Republic,MLB
Austin,Adams,RP,R,R,32,75,220,New York Mets,Tampa,FL,MLB
Peyton,Battenfield,SP,R,R,26,76,224,New York Mets,Tulsa,OK,MLB
Phil,Bickford,RP,R,R,28,76,200,New York Mets,Ventura,CA,MLB
Jose,Butto,SP,R,R,25,73,202,New York Mets,Cumaná,Venezuela,MLB
Edwin,Diaz,RP,R,R,29,75,165,New York Mets,Naguabo,Puerto Rico,MLB
Reed,Garrett,RP,R,R,31,74,195,New York Mets,Henrico,VA,MLB
Grant,Hartwig,RP,R,R,26,77,235,New York Mets,Detroit,MI,MLB
Adrian,Houser,SP,R,R,30,75,242,New York Mets,Tahlequah,OK,MLB
Max,Kranick,SP,R,R,26,75,220,New York Mets,Scranton,PA,MLB
Jorge,Lopez,RP,R,R,30,75,200,New York Mets,Caguas,Puerto Rico,MLB
Joey,Lucchesi,SP,L,L,30,77,225,New York Mets,Newark,CA,MLB
Sean,Manaea,RP,R,L,31,77,245,New York Mets,Valparaiso,IN,MLB
Tylor,Megill,SP,R,R,28,79,230,New York Mets,Long Beach,CA,MLB
David,Peterson,SP,L,L,28,78,240,New York Mets,Denver,CO,MLB
Jose,Quintana,SP,R,L,35,73,220,New York Mets,Arjona,Colombia,MLB
Brooks,Raley,RP,L,L,35,75,200,New York Mets,San Antonio,TX,MLB
Yohan,Ramirez,RP,R,R,28,76,212,New York Mets,Villa Mella,Dominican Republic,MLB
